audio,text,IPA,FailedWord
88,我喜欢听雨声，它总能治愈心灵。,uɔ˨˩˦ ɕi˨˩˦ xwan˥˥ tɕʰiŋ˥ y˨˩˦ ʂɤŋ˥˥ ， tʰa˥ tsʊŋ˨˩˦ ŋ˥ ʈʂɚ˥˩ y˥˩ ɕɪn˥˥ lɪŋ˧˥ 。,
89,她轻轻地笑了，眼神里充满了温柔。,tʰa˥˥ tɕʰɪŋ˥˥ tɕʰɪŋ˥˥ ti˥˩ ɕjɑʊ˥˩ ɥœ˥˩ ， jɛn˨˩˦ ʂən˧˥ li˨˩˦ ʈʂʰʊŋ˥˥ man˨˩˦ ɥœ˥˩ uən˥˥ ʐoʊ˧˥ 。,
90,梦想的种子，需要阳光和雨露滋养。,mɤŋ˥˩ ɕjɑŋ˨˩˦ ti˥˩ ʈʂʊŋ˨˩˦ tsɯ˨˩˦ ， ɕy˥˥ jɑʊ˥˩ jɑŋ˧˥ kwɑŋ˥˥ xɤ˧˥ y˨ lu˥˩ tsɯ˥˥ ɑʊ˨ 。,
91,这本书充满了引人入胜的故事。,ʈʂɤ˥˥ pən˨˩˦ ʂu˥˥ ʈʂʰʊŋ˥˥ man˨˩˦ ɥœ˥˩ ɪn˨˩˦ ʐən˧˥ ʐu˥˩ ʂɤŋ˥˩ ti˥˩ ku˥˩ ʂɚ˥˩ 。,
92,今天的晚餐准备好了，味道很棒！,tɕɪn˥˥ tʰjɛn˥˥ ti˥˩ wan˨˩˦ tsʰan˥˥ ʈʂuən˨˩˦ peɪ˥˩ xɑʊ˨˩˦ ɥœ˥˩ ， weɪ˥˩ tɑʊ˥˩ xən˨˩˦ pɑŋ˥˩ ！,
93,记住，无论发生什么，都要保持乐观。,tɕi˥˩ ʈʂu˥˩ ， u˧˥ luən˥˩ fa˥˥ ʂɤŋ˥˥ ʂən˧˥ mɤ˧ ， toʊ˥˥ ˥yao pɑʊ˨˩˦ ʈʂʰɚ˧˥ lɤ˥˩ kwan˥˥ 。,
94,他努力学习，希望考上理想的大学。,tʰa˥˥ nu˨˩˦ li˥˩ ɕɥœ˧˥ ɕi˧˥ ， ɕi˥˥ wɑŋ˥˩ kʰɑʊ˨˩˦ ʂɑŋ˥˩ li˨˩˦ ɕjɑŋ˨˩˦ ti˥˩ ta˥˩ ɕɥœ˧˥ 。,
95,空气中弥漫着淡淡的花香，令人心旷神怡。,kʰʊŋ˥˥ tɕʰi˥˩ ʈʂʊŋ˥˥ mi˧˥ man˥˩ ʈʂuɔ˧˥ tʰɑn˥ tʰɑn˥ ti˥˩ xwa˥˥ ɕjɑŋ˥˥ ， lɪŋ˥˩ ʐən˧˥ ɕɪn˥˥ ʂən˧˥ 。,
96,旅行的意义在于发现新的自我。,ly˨˩˦ ɕɪŋ˧˥ ti˥˩ i˥˩ i˥˩ tsaɪ˥˩ y˧˥ fa˥˥ ɕjɛn˥˩ ɕɪn˥˥ ti˥˩ tsɯ˥˩ uɔ˨˩˦ 。,
97,感谢你一直以来的陪伴和支持。,kan˨˩˦ ɕjɛ˥˩ ni˨˩˦ i˥˩ ʈʂɚ˧˥ i˨˩˦ lai˨ ti˥˩ pʰeɪ˧˥ pan˥˩ xɤ˧˥ ʈʂɚ˥˥ ʈʂʰɚ˧˥ 。,
98,认真思考问题，才能找到最佳答案。,ʐən˥˩ ʈʂən˥˥ sɯ˥˥ kʰɑʊ˨˩˦ uən˥˩ tʰi˧˥ ， tsʰaɪ˧˥ nɤŋ˧˥ ʈʂɑʊ˨˩˦ tɑʊ˥˩ tsweɪ˥˩ tɕja˥˥ ta˧˥ an˥˩ 。,
99,家是温暖的港湾，充满爱和关怀。,tɕja˥˥ ʂɚ˥˩ uən˥˥ nwan˨˩˦ ti˥˩ ɑʊ˨ wan˥˥ ， ʈʂʰʊŋ˥˥ man˨˩˦ aɪ˥˩ xɤ˧˥ kwan˥˥ xuaɪ˧˥ 。,
100,别害怕失败，每一次跌倒都是成长。,pjɛ˧˥ xaɪ˥˩ pʰa˥˩ ʂɚ˥˥ paɪ˥˩ ， meɪ˨˩˦ i˧˥ tsʰɯ˥˩ tjɛ˥˥ tɑʊ˨˩˦ toʊ˥˥ ʂɚ˥˩ ʈʂʰɤŋ˧˥ ʈʂɑŋ˨˩˦ 。,
